ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code
2384629,HH686645,10/02/2002 09:10:00 AM,015XX E 71ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0324,003,5,43,08B
2384758,HH694553,10/05/2002 11:30:00 AM,027XX N GREENVIEW AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1931,019,32,7,05
2385045,HH695680,10/06/2002 04:00:00 AM,069XX W GEORGE ST,0810,THEFT,OVER $500,STREET,false,false,2511,025,36,18,06
2385262,HH694686,10/05/2002 06:14:41 PM,120XX S PERRY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0523,005,9,53,08A
2385289,HH693776,10/04/2002 07:00:00 PM,042XX W BELMONT AVE,0610,BURGLARY,FORCIBLE ENTRY,FACTORY/MANUFACTURING BUILDING,false,false,1731,017,31,16,05
2385469,HH690859,10/04/2002 02:55:44 AM,043XX S MICHIGAN AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,0221,002,3,38,04B
2385495,HH694461,10/05/2002 04:40:00 PM,006XX N CLARK ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),true,false,1832,018,42,8,08B
2385630,HH694357,10/05/2002 03:15:00 PM,066XX S SANGAMON ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0723,007,17,68,05
2385678,HH677825,09/28/2002 10:00:00 AM,066XX S GREENWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,VACANT LOT/LAND,false,false,0321,003,5,42,03
2385687,HH695394,10/06/2002 02:05:23 AM,013XX E 71ST ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0321,003,5,43,03
2385736,HH689925,10/03/2002 03:00:00 PM,013XX N CENTRAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2532,025,37,25,08B
2385841,HH696846,10/06/2002 03:30:00 AM,113XX S PRAIRIE AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,true,0531,005,9,49,06
